# ----------------------------------------
# 1 Master View
# Product Performance
# 20141001-20200229
# ----------------------------------------

Product,Year,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Cart-to-Detail Rate,Buy-to-Detail Rate
Cam IQ - USA,2018,"$4,378.00",17,22,$199.00,1.29,$0.00,34.62%,1.29%
Google Men's Vintage Badge Tee Sage,2017,"$4,375.19",367,699,$6.26,1.90,$0.00,54.91%,21.72%
YouTube Custom Decals,2017,"$4,374.71",411,"3,107",$1.41,7.56,$0.00,35.08%,3.66%
Google Women's Lightweight Microfleece Jacket,2017,"$4,373.92",88,91,$48.07,1.03,$0.00,39.78%,16.36%
Google Men's Long Sleeve Raglan Ocean Blue,2017,"$4,371.68",162,232,$18.84,1.43,$0.00,44.73%,17.09%
Google Doodle Decal,2017,"$4,369.29",320,"1,714",$2.55,5.36,$0.00,38.85%,10.53%
Unisex Take Your Child To Work Day Tee (Pre-Order),2018,"$4,317.84",211,216,$19.99,1.02,$0.00,52.31%,22.66%
Men's Softshell Jacket Black/Grey,2016,"$4,315.88",46,52,$83.00,1.13,$0.00,0.00%,0.00%
Color Changing Grip Pen,2016,"$4,314.00",118,"3,168",$1.36,26.85,$0.00,47.73%,26.82%
Google Men's Performance Full Zip Jacket Black,2016,"$4,295.58",38,42,$102.28,1.11,$0.00,10.97%,3.09%
Google 24 oz Ring Bottle Red,2018,"$4,294.93",95,727,$5.91,7.65,$0.00,76.36%,57.58%
Engraved Ceramic Google Mug,2017,"$4,275.62",122,518,$8.25,4.25,$0.00,43.51%,11.56%
YouTube Ultimate Hooded Sweatshirt,2016,"$4,269.95",119,129,$33.10,1.08,$0.00,11.57%,1.15%
Spiral Notebook and Pen Set,2016,"$4,237.20",66,840,$5.04,12.73,$0.00,27.53%,9.27%
Windup Android,2016,"$4,228.62",171,"1,138",$3.72,6.65,$0.00,49.70%,14.70%
Ceramic Mug 15oz.,2015,"$4,221.55",155,388,$10.88,2.50,$0.00,26.72%,6.11%
Android 17oz Stainless Steel Sport Bottle,2016,"$4,219.35",52,245,$17.22,4.71,$0.00,26.16%,9.65%
Google Women's Quilted Insulated Vest Black,2016,"$4,214.33",47,67,$62.90,1.43,$0.00,32.01%,13.31%
23 oz Wide Mouth Sport Bottle,2017,"$4,208.48",85,452,$9.31,5.32,$0.00,41.02%,7.71%
Google Men's Vintage Badge Tee White,2017,"$4,195.28",336,664,$6.32,1.98,$0.00,30.21%,9.39%
