Rank,Company Name,Number of Employees,Previous Rank,Revenues ($m),Revenue Change,Profits ($m),Profit Change,Assets ($m),Market Value ($m)
106,Kraft Heinz,41000,153.0,26487,44.4%,3632.0,472.9%,120480,110528
107,Tech Data,9500,108.0,26235,-0.5%,195.1,-26.6%,7932,3569
108,Avnet,17700,102.0,26219,-6.1%,506.5,-11.4%,11240,5898
109,Avnet,90000,102.0,25923,-12.5%,1659.0,-77.2%,61538,65676
110,MacyÕs,148300,103.0,25778,-4.8%,619.0,-42.3%,19851,9046
111,AbbVie,30000,123.0,25638,12.2%,5953.0,15.7%,66099,103838
112,McDonaldÕs,375000,109.0,24622,-3.1%,4686.5,3.5%,31024,106150
113,DuPont,46000,101.0,24594,-12.0%,2513.0,28.7%,39964,69451
114,Northrop Grumman,67000,118.0,24508,4.2%,2200.0,10.6%,25614,41577
115,ConocoPhillips,13300,90.0,24360,-21.3%,-3615.0,-,89772,61692
116,Raytheon,63000,120.0,24069,3.5%,2211.0,6.6%,30052,44664
117,Tesoro,6308,98.0,24005,-14.7%,734.0,-52.3%,20398,9515
118,Arrow Electronics,18700,119.0,23825,2.3%,522.8,5.0%,14206,6546
119,Qualcomm,30500,110.0,23554,-6.8%,5705.0,8.2%,52359,84694
120,Progressive,31721,137.0,23441,12.4%,1031.0,-18.7%,33428,22760
121,Duke Energy,28798,115.0,23369,-1.0%,2152.0,-23.6%,132761,57397
122,Enterprise Products Partners,6800,104.0,23022,-14.8%,2513.1,-0.3%,52194,58522
123,Amgen,19200,130.0,22991,6.1%,7722.0,11.3%,77626,120830
124,US Foods Holding,25000,122.0,22919,-0.9%,209.8,25.2%,8945,6207
125,U.S. Bancorp,71191,131.0,22744,5.8%,5888.0,0.2%,445964,87201
126,Aflac,10212,135.0,22559,8.1%,2659.0,5.0%,129819,29053
127,Sears Holdings,140000,111.0,22138,-12.0%,-2221.0,-,9362,1231
128,Dollar General,121000,139.0,21987,7.9%,1251.1,7.4%,11672,19182
129,AutoNation,26000,136.0,21609,3.6%,430.5,-2.7%,10060,4268
130,Community Health Systems,108000,125.0,21374,-5.8%,-1721.0,-,21944,1010
131,Starbucks,254000,146.0,21316,11.2%,2817.7,2.2%,14330,85092
132,Eli Lilly,41975,141.0,21222,6.3%,2737.6,13.7%,38806,92803
133,International Paper,55000,127.0,21079,-5.8%,904.0,-3.6%,33345,20884
134,Tenet Healthcare,116475,140.0,21070,4.8%,-192.0,-,24701,1777
135,Abbott Laboratories,75000,138.0,20853,0.9%,1400.0,-68.3%,52666,76740
136,Dollar Tree,116050,180.0,20719,33.7%,896.2,217.4%,15702,18540
137,Whirlpool,93000,134.0,20718,-0.8%,888.0,13.4%,19153,12762
138,Southwest Airlines,53536,142.0,20425,3.1%,2244.0,2.9%,23286,33076
